"","templateName","templateMakros","totalTokens","averageTokens"
"1","'Dat Ass",403,2122,5
"2","[10] Guy",213,1930,9
"3","Ancient Aliens",639,5494,9
"4","Annoying Facebook Girl",234,4056,17
"5","Bad Luck Brian",674,7411,11
"6","Based God",129,950,7
"7","Big Chungus",111,2661,24
"8","Ermahgerd",330,3538,11
"9","First World Problems",346,6584,19
"10","Grumpy Cat",509,5654,11
"11","Joseph Ducreux / Archaic Rap",930,16980,18
"12","Overly Attached Girlfriend",205,3862,19
"13","Philosoraptor",649,7923,12
"14","Ridiculously Photogenic Guy",322,4370,14
"15","Scumbag Steve",474,5658,12
"16","Xzibit Yo Dawg",629,20175,32
